(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
LOC106908211,gene263,rna488_gene_LOC106908211,rna488
rab42,gene264,rna489_gene_rab42,rna489
taf12,gene265,rna493_gene_taf12,rna493
LOC106908535,gene266,rna495_gene_LOC106908535,rna495
cadm4,gene267,rna498_gene_cadm4,rna498
LOC106909042,gene268,rna501_gene_LOC106909042,rna501
LOC106909128,gene269,rna502_gene_LOC106909128,rna502
LOC106909332,gene270,NA,NA
LOC106905843,gene271,rna506_gene_LOC106905843,rna506
LOC106909392,gene272,rna507_gene_LOC106909392,rna507
LOC106909738,gene273,rna511_gene_LOC106909738,rna511
LOC106910184,gene274,rna517_gene_LOC106910184,rna517
LOC106910607,gene275,rna519_gene_LOC106910607,rna519
LOC106910387,gene276,rna520_gene_LOC106910387,rna520
LOC106910528,gene277,rna522_gene_LOC106910528,rna522
LOC106910705,gene278,rna523_gene_LOC106910705,rna523
LOC106910987,gene279,rna525_gene_LOC106910987,rna525
kif28p,gene280,rna528_gene_kif28p,rna528
ahctf1,gene281,rna532_gene_ahctf1,rna532
LOC106911393,gene282,rna534_gene_LOC106911393,rna534
LOC106909606,gene283,rna535_gene_LOC106909606,rna535
pld1,gene284,rna537_gene_pld1,rna537
LOC106911690,gene285,rna538_gene_LOC106911690,rna538
fndc3b,gene286,rna541_gene_fndc3b,rna541
ppp2r3a,gene287,rna544_gene_ppp2r3a,rna544
nceh1,gene288,rna547_gene_nceh1,rna547
tnfsf10,gene289,rna548_gene_tnfsf10,rna548
LOC106912422,gene290,rna549_gene_LOC106912422,rna549
pccb,gene291,rna550_gene_pccb,rna550
stag1,gene292,rna551_gene_stag1,rna551
slc35g2,gene293,rna552_gene_slc35g2,rna552
LOC106913157,gene294,rna553_gene_LOC106913157,rna553
LOC106913256,gene295,NA,NA
LOC106912980,gene296,rna555_gene_LOC106912980,rna555
atr,gene297,rna557_gene_atr,rna557
pls1,gene298,rna558_gene_pls1,rna558
LOC106913747,gene299,rna561_gene_LOC106913747,rna561
LOC106913325,gene300,rna564_gene_LOC106913325,rna564
LOC106909681,gene301,NA,NA
LOC106913866,gene302,NA,NA
galt,gene303,rna567_gene_galt,rna567
