(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
LOC106928111,gene16011,rna29954_gene_LOC106928111,rna29954
LOC106928099,gene16012,rna29955_gene_LOC106928099,rna29955
LOC106928100,gene16013,rna29956_gene_LOC106928100,rna29956
LOC106928101,gene16014,rna29957_gene_LOC106928101,rna29957
LOC106928102,gene16015,rna29958_gene_LOC106928102,rna29958
LOC106928115,gene16016,rna29959_gene_LOC106928115,rna29959
LOC106928118,gene16017,NA,NA
LOC106928117,gene16018,rna29962_gene_LOC106928117,rna29962
LOC106928114,gene16019,rna29963_gene_LOC106928114,rna29963
LOC106928103,gene16020,rna29964_gene_LOC106928103,rna29964
LOC106928105,gene16021,rna29965_gene_LOC106928105,rna29965
LOC106928108,gene16022,rna29966_gene_LOC106928108,rna29966
LOC106928109,gene16023,rna29967_gene_LOC106928109,rna29967
LOC106928110,gene16024,rna29968_gene_LOC106928110,rna29968
LOC106928106,gene16025,rna29969_gene_LOC106928106,rna29969
LOC106928125,gene16026,rna29973_gene_LOC106928125,rna29973
fbxw11,gene16027,rna29975_gene_fbxw11,rna29975
etf1,gene16028,rna29978_gene_etf1,rna29978
LOC106928121,gene16029,NA,NA
LOC106928120,gene16030,rna29981_gene_LOC106928120,rna29981
LOC106928145,gene16031,rna29982_gene_LOC106928145,rna29982
LOC106928128,gene16032,rna29983_gene_LOC106928128,rna29983
LOC106928127,gene16033,rna29984_gene_LOC106928127,rna29984
LOC106928126,gene16034,rna29985_gene_LOC106928126,rna29985
LOC106928143,gene16035,rna29986_gene_LOC106928143,rna29986
LOC106928144,gene16036,NA,NA
LOC106928133,gene16037,rna29989_gene_LOC106928133,rna29989
nrm,gene16038,rna29990_gene_nrm,rna29990
trnak-cuu,gene16039,NA,NA
ppp1r18,gene16040,rna29992_gene_ppp1r18,rna29992
LOC106928135,gene16041,rna29994_gene_LOC106928135,rna29994
ppt2,gene16042,rna29995_gene_ppt2,rna29995
rps5,gene16043,rna29996_gene_rps5,rna29996
LOC106928141,gene16044,rna29997_gene_LOC106928141,rna29997
LOC106928138,gene16045,rna29998_gene_LOC106928138,rna29998
LOC106928137,gene16046,rna29999_gene_LOC106928137,rna29999
LOC106928129,gene16047,rna30001_gene_LOC106928129,rna30001
LOC106928130,gene16048,rna30002_gene_LOC106928130,rna30002
LOC106928132,gene16049,rna30003_gene_LOC106928132,rna30003
smg7,gene16050,rna30005_gene_smg7,rna30005
LOC106928147,gene16051,rna30006_gene_LOC106928147,rna30006
rasal2,gene16052,rna30008_gene_rasal2,rna30008
LOC106928162,gene16053,NA,NA
LOC106928161,gene16054,NA,NA
lamc1,gene16055,rna30021_gene_lamc1,rna30021
LOC106928148,gene16056,NA,NA
LOC106928150,gene16057,rna30024_gene_LOC106928150,rna30024
LOC106928149,gene16058,rna30025_gene_LOC106928149,rna30025
LOC106928146,gene16059,rna30027_gene_LOC106928146,rna30027
LOC106928169,gene16060,rna30028_gene_LOC106928169,rna30028
adipor1,gene16061,rna30032_gene_adipor1,rna30032
rabif,gene16062,rna30034_gene_rabif,rna30034
kdm5b,gene16063,rna30035_gene_kdm5b,rna30035
nelfcd,gene16064,rna30036_gene_nelfcd,rna30036
ctsz,gene16065,rna30037_gene_ctsz,rna30037
npepl1,gene16066,rna30038_gene_npepl1,rna30038
LOC106928171,gene16067,rna30039_gene_LOC106928171,rna30039
LOC106928155,gene16068,rna30041_gene_LOC106928155,rna30041
cnpy2,gene16069,rna30044_gene_cnpy2,rna30044
LOC106928153,gene16070,rna30046_gene_LOC106928153,rna30046
LOC106928156,gene16071,rna30047_gene_LOC106928156,rna30047
LOC106928154,gene16072,rna30048_gene_LOC106928154,rna30048
LOC106928175,gene16073,NA,NA
LOC106928172,gene16074,rna30051_gene_LOC106928172,rna30051
LOC106928174,gene16075,rna30052_gene_LOC106928174,rna30052
LOC106928173,gene16076,rna30053_gene_LOC106928173,rna30053
LOC106928179,gene16077,rna30054_gene_LOC106928179,rna30054
LOC106928176,gene16078,rna30055_gene_LOC106928176,rna30055
ccdc40,gene16079,rna30059_gene_ccdc40,rna30059
card14,gene16080,rna30060_gene_card14,rna30060
cbx4,gene16081,rna30062_gene_cbx4,rna30062
LOC106928182,gene16082,rna30066_gene_LOC106928182,rna30066
LOC106928183,gene16083,rna30067_gene_LOC106928183,rna30067
LOC106928197,gene16084,rna30069_gene_LOC106928197,rna30069
LOC106928187,gene16085,rna30070_gene_LOC106928187,rna30070
LOC106928186,gene16086,rna30072_gene_LOC106928186,rna30072
strip1,gene16087,rna30073_gene_strip1,rna30073
LOC106928199,gene16088,rna30075_gene_LOC106928199,rna30075
LOC106928200,gene16089,NA,NA
LOC106928193,gene16090,rna30078_gene_LOC106928193,rna30078
LOC106928188,gene16091,NA,NA
LOC106928189,gene16092,rna30081_gene_LOC106928189,rna30081
LOC106928195,gene16093,rna30082_gene_LOC106928195,rna30082
LOC106928190,gene16094,rna30086_gene_LOC106928190,rna30086
LOC106928191,gene16095,rna30091_gene_LOC106928191,rna30091
LOC106928196,gene16096,rna30092_gene_LOC106928196,rna30092
LOC106928184,gene16097,rna30093_gene_LOC106928184,rna30093
LOC106928201,gene16098,rna30096_gene_LOC106928201,rna30096
podn,gene16099,rna30097_gene_podn,rna30097
LOC106928213,gene16100,rna30099_gene_LOC106928213,rna30099
cpt2,gene16101,rna30100_gene_cpt2,rna30100
magoh,gene16102,rna30101_gene_magoh,rna30101
aatf,gene16103,rna30102_gene_aatf,rna30102
LOC106928212,gene16104,rna30103_gene_LOC106928212,rna30103
tmco1,gene16105,rna30104_gene_tmco1,rna30104
aldh9a1,gene16106,rna30105_gene_aldh9a1,rna30105
med8,gene16107,rna30106_gene_med8,rna30106
pbx1,gene16108,rna30109_gene_pbx1,rna30109
LOC106928204,gene16109,NA,NA
LOC106928205,gene16110,NA,NA
LOC106928202,gene16111,rna30113_gene_LOC106928202,rna30113
LOC106928218,gene16112,rna30114_gene_LOC106928218,rna30114
med7,gene16113,rna30115_gene_med7,rna30115
itk,gene16114,rna30116_gene_itk,rna30116
LOC106928216,gene16115,rna30117_gene_LOC106928216,rna30117
hmmr,gene16116,rna30119_gene_hmmr,rna30119
LOC106928221,gene16117,rna30121_gene_LOC106928221,rna30121
LOC106928240,gene16118,rna30122_gene_LOC106928240,rna30122
malsu1,gene16119,rna30123_gene_malsu1,rna30123
LOC106928243,gene16120,rna30124_gene_LOC106928243,rna30124
LOC106928226,gene16121,rna30125_gene_LOC106928226,rna30125
dfna5,gene16122,rna30126_gene_dfna5,rna30126
osbpl3,gene16123,rna30129_gene_osbpl3,rna30129
LOC106928231,gene16124,rna30133_gene_LOC106928231,rna30133
LOC106928230,gene16125,rna30135_gene_LOC106928230,rna30135
LOC106928233,gene16126,rna30137_gene_LOC106928233,rna30137
LOC106928232,gene16127,rna30139_gene_LOC106928232,rna30139
LOC106928235,gene16128,NA,NA
skap2,gene16129,rna30142_gene_skap2,rna30142
LOC106928245,gene16130,NA,NA
LOC106928223,gene16131,rna30144_gene_LOC106928223,rna30144
LOC106928225,gene16132,NA,NA
LOC106928224,gene16133,rna30146_gene_LOC106928224,rna30146
LOC106928236,gene16134,rna30147_gene_LOC106928236,rna30147
LOC106928237,gene16135,rna30148_gene_LOC106928237,rna30148
LOC106928238,gene16136,rna30149_gene_LOC106928238,rna30149
LOC106928239,gene16137,rna30150_gene_LOC106928239,rna30150
LOC106928248,gene16138,NA,NA
LOC106928247,gene16139,rna30151_gene_LOC106928247,rna30151
tmem159,gene16140,rna30155_gene_tmem159,rna30155
LOC106928259,gene16141,rna30157_gene_LOC106928259,rna30157
LOC106928264,gene16142,rna30158_gene_LOC106928264,rna30158
LOC106928265,gene16143,rna30161_gene_LOC106928265,rna30161
cdr2,gene16144,rna30163_gene_cdr2,rna30163
trnal-uag,gene16145,NA,NA
LOC106928246,gene16146,rna30165_gene_LOC106928246,rna30165
LOC106928256,gene16147,rna30166_gene_LOC106928256,rna30166
LOC106928262,gene16148,rna30167_gene_LOC106928262,rna30167
LOC106928261,gene16149,rna30168_gene_LOC106928261,rna30168
anks4b,gene16150,rna30171_gene_anks4b,rna30171
LOC106928252,gene16151,rna30172_gene_LOC106928252,rna30172
dxo,gene16152,rna30174_gene_dxo,rna30174
stk19,gene16153,rna30179_gene_stk19,rna30179
LOC106928254,gene16154,rna30180_gene_LOC106928254,rna30180
LOC106928255,gene16155,rna30181_gene_LOC106928255,rna30181
LOC106928257,gene16156,rna30182_gene_LOC106928257,rna30182
LOC106928258,gene16157,rna30183_gene_LOC106928258,rna30183
unc93a,gene16158,rna30184_gene_unc93a,rna30184
ncoa1,gene16159,rna30186_gene_ncoa1,rna30186
ptrhd1,gene16160,rna30188_gene_ptrhd1,rna30188
LOC106928270,gene16161,rna30190_gene_LOC106928270,rna30190
man1a1,gene16162,rna30193_gene_man1a1,rna30193
LOC106928271,gene16163,NA,NA
LOC106928274,gene16164,rna30195_gene_LOC106928274,rna30195
dclre1b,gene16165,rna30197_gene_dclre1b,rna30197
LOC106928278,gene16166,rna30199_gene_LOC106928278,rna30199
mmp9,gene16167,rna30201_gene_mmp9,rna30201
LOC106928272,gene16168,rna30202_gene_LOC106928272,rna30202
LOC106928276,gene16169,rna30203_gene_LOC106928276,rna30203
LOC106928273,gene16170,rna30204_gene_LOC106928273,rna30204
tmem266,gene16171,rna30205_gene_tmem266,rna30205
etfa,gene16172,rna30206_gene_etfa,rna30206
LOC106928280,gene16173,rna30207_gene_LOC106928280,rna30207
scaper,gene16174,rna30213_gene_scaper,rna30213
rcn2,gene16175,rna30216_gene_rcn2,rna30216
pstpip1,gene16176,rna30218_gene_pstpip1,rna30218
LOC106928285,gene16177,rna30220_gene_LOC106928285,rna30220
LOC106928281,gene16178,rna30221_gene_LOC106928281,rna30221
LOC106928295,gene16179,rna30222_gene_LOC106928295,rna30222
LOC106928291,gene16180,rna30223_gene_LOC106928291,rna30223
LOC106928292,gene16181,rna30224_gene_LOC106928292,rna30224
kti12,gene16182,rna30225_gene_kti12,rna30225
znf592,gene16183,rna30226_gene_znf592,rna30226
slc28a1,gene16184,rna30227_gene_slc28a1,rna30227
alpk3,gene16185,rna30228_gene_alpk3,rna30228
LOC106928289,gene16186,rna30230_gene_LOC106928289,rna30230
trnah-gug,gene16187,NA,NA
LOC106928306,gene16188,rna30233_gene_LOC106928306,rna30233
LOC106928308,gene16189,rna30240_gene_LOC106928308,rna30240
LOC106928297,gene16190,rna30242_gene_LOC106928297,rna30242
LOC106928298,gene16191,NA,NA
LOC106928296,gene16192,rna30245_gene_LOC106928296,rna30245
LOC106928305,gene16193,rna30247_gene_LOC106928305,rna30247
LOC106928301,gene16194,rna30248_gene_LOC106928301,rna30248
dis3l2,gene16195,rna30249_gene_dis3l2,rna30249
LOC106928299,gene16196,rna30252_gene_LOC106928299,rna30252
LOC106928303,gene16197,rna30254_gene_LOC106928303,rna30254
LOC106928304,gene16198,rna30258_gene_LOC106928304,rna30258
rps6kc1,gene16199,rna30259_gene_rps6kc1,rna30259
LOC106928316,gene16200,rna30260_gene_LOC106928316,rna30260
LOC106928315,gene16201,rna30261_gene_LOC106928315,rna30261
LOC106928317,gene16202,rna30265_gene_LOC106928317,rna30265
kcnk2,gene16203,rna30268_gene_kcnk2,rna30268
LOC106928310,gene16204,rna30270_gene_LOC106928310,rna30270
LOC106928321,gene16205,rna30271_gene_LOC106928321,rna30271
LOC106928312,gene16206,rna30273_gene_LOC106928312,rna30273
fdft1,gene16207,rna30274_gene_fdft1,rna30274
LOC106928311,gene16208,rna30276_gene_LOC106928311,rna30276
gata4,gene16209,rna30277_gene_gata4,rna30277
trnae-cuc,gene16210,NA,NA
LOC106928314,gene16211,rna30279_gene_LOC106928314,rna30279
LOC106928313,gene16212,rna30285_gene_LOC106928313,rna30285
LOC106928324,gene16213,rna30286_gene_LOC106928324,rna30286
lama2,gene16214,rna30287_gene_lama2,rna30287
LOC106928327,gene16215,rna30289_gene_LOC106928327,rna30289
LOC106928329,gene16216,NA,NA
LOC106928326,gene16217,rna30296_gene_LOC106928326,rna30296
vcl,gene16218,rna30301_gene_vcl,rna30301
LOC106928325,gene16219,NA,NA
LOC106928332,gene16220,NA,NA
LOC106928333,gene16221,NA,NA
LOC106928339,gene16222,rna30306_gene_LOC106928339,rna30306
LOC106928338,gene16223,rna30307_gene_LOC106928338,rna30307
suv39h1,gene16224,rna30311_gene_suv39h1,rna30311
LOC106928340,gene16225,rna30313_gene_LOC106928340,rna30313
LOC106928335,gene16226,rna30321_gene_LOC106928335,rna30321
LOC106928336,gene16227,rna30329_gene_LOC106928336,rna30329
LOC106928331,gene16228,rna30330_gene_LOC106928331,rna30330
mfn2,gene16229,rna30331_gene_mfn2,rna30331
LOC106928342,gene16230,rna30332_gene_LOC106928342,rna30332
LOC106928343,gene16231,rna30335_gene_LOC106928343,rna30335
wfs1,gene16232,rna30337_gene_wfs1,rna30337
LOC106928345,gene16233,rna30340_gene_LOC106928345,rna30340
LOC106928354,gene16234,rna30341_gene_LOC106928354,rna30341
LOC106928355,gene16235,rna30342_gene_LOC106928355,rna30342
mif,gene16236,rna30345_gene_mif,rna30345
LOC106928349,gene16237,rna30346_gene_LOC106928349,rna30346
LOC106928359,gene16238,rna30348_gene_LOC106928359,rna30348
LOC106928358,gene16239,rna30349_gene_LOC106928358,rna30349
LOC106928350,gene16240,rna30350_gene_LOC106928350,rna30350
LOC106928360,gene16241,rna30351_gene_LOC106928360,rna30351
LOC106928362,gene16242,rna30353_gene_LOC106928362,rna30353
LOC106928348,gene16243,rna30358_gene_LOC106928348,rna30358
LOC106928363,gene16244,rna30357_gene_LOC106928363,rna30357
LOC106928346,gene16245,rna30365_gene_LOC106928346,rna30365
LOC106928357,gene16246,rna30367_gene_LOC106928357,rna30367
LOC106928356,gene16247,rna30369_gene_LOC106928356,rna30369
LOC106928361,gene16248,rna30375_gene_LOC106928361,rna30375
LOC106928352,gene16249,rna30376_gene_LOC106928352,rna30376
LOC106928351,gene16250,rna30378_gene_LOC106928351,rna30378
LOC106928366,gene16251,rna30380_gene_LOC106928366,rna30380
jmjd1c,gene16252,rna30381_gene_jmjd1c,rna30381
LOC106928369,gene16253,NA,NA
LOC106928377,gene16254,rna30384_gene_LOC106928377,rna30384
LOC106928378,gene16255,rna30385_gene_LOC106928378,rna30385
adra1b,gene16256,rna30387_gene_adra1b,rna30387
fabp6,gene16257,rna30388_gene_fabp6,rna30388
ccnjl,gene16258,rna30389_gene_ccnjl,rna30389
LOC106928375,gene16259,rna30392_gene_LOC106928375,rna30392
slu7,gene16260,rna30393_gene_slu7,rna30393
glod5,gene16261,rna30395_gene_glod5,rna30395
rlim,gene16262,rna30396_gene_rlim,rna30396
LOC106928389,gene16263,rna30400_gene_LOC106928389,rna30400
zfx,gene16264,rna30402_gene_zfx,rna30402
LOC106928388,gene16265,rna30404_gene_LOC106928388,rna30404
LOC106928379,gene16266,rna30406_gene_LOC106928379,rna30406
LOC106928391,gene16267,rna30407_gene_LOC106928391,rna30407
LOC106928382,gene16268,rna30408_gene_LOC106928382,rna30408
ogt,gene16269,rna30409_gene_ogt,rna30409
LOC106928393,gene16270,NA,NA
acrc,gene16271,rna30414_gene_acrc,rna30414
cetn2,gene16272,rna30415_gene_cetn2,rna30415
LOC106928381,gene16273,rna30416_gene_LOC106928381,rna30416
nsdhl,gene16274,rna30417_gene_nsdhl,rna30417
znf185,gene16275,rna30418_gene_znf185,rna30418
LOC106928384,gene16276,rna30419_gene_LOC106928384,rna30419
LOC106928386,gene16277,rna30420_gene_LOC106928386,rna30420
LOC106928385,gene16278,rna30423_gene_LOC106928385,rna30423
mynn,gene16279,rna30425_gene_mynn,rna30425
LOC106928396,gene16280,rna30426_gene_LOC106928396,rna30426
lrrc31,gene16281,rna30428_gene_lrrc31,rna30428
eif2s3,gene16282,rna30429_gene_eif2s3,rna30429
klhl15,gene16283,rna30430_gene_klhl15,rna30430
apoo,gene16284,rna30433_gene_apoo,rna30433
sat1,gene16285,rna30434_gene_sat1,rna30434
acot9,gene16286,rna30436_gene_acot9,rna30436
LOC106928397,gene16287,rna30438_gene_LOC106928397,rna30438
LOC106928401,gene16288,rna30439_gene_LOC106928401,rna30439
LOC106928402,gene16289,rna30440_gene_LOC106928402,rna30440
LOC106928400,gene16290,rna30442_gene_LOC106928400,rna30442
sdf4,gene16291,rna30443_gene_sdf4,rna30443
LOC106928398,gene16292,rna30445_gene_LOC106928398,rna30445
acap3,gene16293,rna30446_gene_acap3,rna30446
LOC106928414,gene16294,NA,NA
aplp1,gene16295,rna30449_gene_aplp1,rna30449
zbtb32,gene16296,rna30451_gene_zbtb32,rna30451
LOC106928412,gene16297,rna30452_gene_LOC106928412,rna30452
igflr1,gene16298,rna30454_gene_igflr1,rna30454
kmt2b,gene16299,rna30455_gene_kmt2b,rna30455
psenen,gene16300,rna30458_gene_psenen,rna30458
hspb6,gene16301,rna30463_gene_hspb6,rna30463
proser3,gene16302,rna30464_gene_proser3,rna30464
lin37,gene16303,rna30465_gene_lin37,rna30465
LOC106928417,gene16304,rna30466_gene_LOC106928417,rna30466
LOC106928415,gene16305,rna30467_gene_LOC106928415,rna30467
LOC106928413,gene16306,rna30468_gene_LOC106928413,rna30468
LOC106928416,gene16307,rna30469_gene_LOC106928416,rna30469
LOC106928427,gene16308,rna30470_gene_LOC106928427,rna30470
LOC106928425,gene16309,NA,NA
LOC106928426,gene16310,rna30472_gene_LOC106928426,rna30472
LOC106928429,gene16311,rna30474_gene_LOC106928429,rna30474
LOC106928432,gene16312,NA,NA
LOC106928431,gene16313,NA,NA
LOC106928435,gene16314,rna30477_gene_LOC106928435,rna30477
kdm1a,gene16315,rna30478_gene_kdm1a,rna30478
LOC106928445,gene16316,NA,NA
luzp1,gene16317,rna30483_gene_luzp1,rna30483
LOC106928446,gene16318,rna30487_gene_LOC106928446,rna30487
LOC106928438,gene16319,rna30488_gene_LOC106928438,rna30488
LOC106928437,gene16320,rna30489_gene_LOC106928437,rna30489
itgb1bp1,gene16321,rna30490_gene_itgb1bp1,rna30490
LOC106928433,gene16322,rna30491_gene_LOC106928433,rna30491
asap3,gene16323,rna30495_gene_asap3,rna30495
LOC106928442,gene16324,rna30497_gene_LOC106928442,rna30497
LOC106928443,gene16325,rna30499_gene_LOC106928443,rna30499
LOC106928458,gene16326,NA,NA
LOC106928457,gene16327,rna30503_gene_LOC106928457,rna30503
LOC106928453,gene16328,rna30504_gene_LOC106928453,rna30504
LOC106928454,gene16329,rna30505_gene_LOC106928454,rna30505
nup160,gene16330,rna30507_gene_nup160,rna30507
LOC106928450,gene16331,rna30509_gene_LOC106928450,rna30509
LOC106928452,gene16332,rna30510_gene_LOC106928452,rna30510
LOC106928449,gene16333,rna30511_gene_LOC106928449,rna30511
lamb1,gene16334,rna30512_gene_lamb1,rna30512
LOC106928447,gene16335,rna30513_gene_LOC106928447,rna30513
LOC106928456,gene16336,rna30514_gene_LOC106928456,rna30514
LOC106928455,gene16337,rna30516_gene_LOC106928455,rna30516
LOC106928460,gene16338,NA,NA
LOC106928476,gene16339,rna30518_gene_LOC106928476,rna30518
LOC106928463,gene16340,rna30520_gene_LOC106928463,rna30520
LOC106928471,gene16341,rna30521_gene_LOC106928471,rna30521
LOC106928470,gene16342,rna30522_gene_LOC106928470,rna30522
tbrg4,gene16343,rna30524_gene_tbrg4,rna30524
nacad,gene16344,rna30526_gene_nacad,rna30526
glipr2,gene16345,rna30527_gene_glipr2,rna30527
LOC106928473,gene16346,rna30528_gene_LOC106928473,rna30528
LOC106928475,gene16347,rna30529_gene_LOC106928475,rna30529
LOC106928474,gene16348,rna30530_gene_LOC106928474,rna30530
LOC106928462,gene16349,rna30531_gene_LOC106928462,rna30531
LOC106928461,gene16350,rna30532_gene_LOC106928461,rna30532
LOC106928464,gene16351,NA,NA
LOC106928465,gene16352,NA,NA
LOC106928466,gene16353,NA,NA
LOC106928480,gene16354,rna30534_gene_LOC106928480,rna30534
LOC106928479,gene16355,rna30535_gene_LOC106928479,rna30535
LOC106928481,gene16356,rna30536_gene_LOC106928481,rna30536
LOC106928482,gene16357,rna30537_gene_LOC106928482,rna30537
LOC106928484,gene16358,NA,NA
LOC106928486,gene16359,NA,NA
slc25a10,gene16360,rna30539_gene_slc25a10,rna30539
gcgr,gene16361,rna30540_gene_gcgr,rna30540
LOC106928478,gene16362,rna30541_gene_LOC106928478,rna30541
LOC106928477,gene16363,rna30542_gene_LOC106928477,rna30542
LOC106928489,gene16364,NA,NA
LOC106928488,gene16365,rna30545_gene_LOC106928488,rna30545
unc79,gene16366,rna30551_gene_unc79,rna30551
LOC106928491,gene16367,NA,NA
LOC106928493,gene16368,NA,NA
btbd7,gene16369,rna30555_gene_btbd7,rna30555
itpk1,gene16370,rna30557_gene_itpk1,rna30557
plk4,gene16371,rna30558_gene_plk4,rna30558
hspa4l,gene16372,rna30560_gene_hspa4l,rna30560
chmp3,gene16373,rna30561_gene_chmp3,rna30561
LOC106928499,gene16374,rna30563_gene_LOC106928499,rna30563
LOC106928504,gene16375,rna30567_gene_LOC106928504,rna30567
LOC106928508,gene16376,rna30572_gene_LOC106928508,rna30572
retsat,gene16377,rna30573_gene_retsat,rna30573
nmt1,gene16378,rna30575_gene_nmt1,rna30575
LOC106928511,gene16379,rna30576_gene_LOC106928511,rna30576
LOC106928501,gene16380,rna30577_gene_LOC106928501,rna30577
LOC106928503,gene16381,rna30578_gene_LOC106928503,rna30578
arhgap23,gene16382,rna30582_gene_arhgap23,rna30582
LOC106928510,gene16383,NA,NA
lasp1,gene16384,rna30590_gene_lasp1,rna30590
LOC106928500,gene16385,rna30591_gene_LOC106928500,rna30591
trnac-gca,gene16386,NA,NA
trnac-gca,gene16387,NA,NA
trnac-gca,gene16388,NA,NA
trnac-gca,gene16389,NA,NA
trnac-gca,gene16390,NA,NA
trnac-gca,gene16391,NA,NA
trnac-gca,gene16392,NA,NA
LOC106928514,gene16393,rna30599_gene_LOC106928514,rna30599
LOC106928528,gene16394,rna30600_gene_LOC106928528,rna30600
LOC106928512,gene16395,rna30602_gene_LOC106928512,rna30602
LOC106928513,gene16396,rna30603_gene_LOC106928513,rna30603
vps45,gene16397,rna30605_gene_vps45,rna30605
LOC106928524,gene16398,rna30607_gene_LOC106928524,rna30607
plekho1,gene16399,rna30608_gene_plekho1,rna30608
LOC106928525,gene16400,NA,NA
LOC106928527,gene16401,NA,NA
anp32e,gene16402,rna30612_gene_anp32e,rna30612
LOC106928519,gene16403,NA,NA
gabpb2,gene16404,rna30614_gene_gabpb2,rna30614
mllt11,gene16405,rna30615_gene_mllt11,rna30615
LOC106928521,gene16406,NA,NA
LOC106928520,gene16407,NA,NA
LOC106928545,gene16408,NA,NA
LOC106928543,gene16409,rna30619_gene_LOC106928543,rna30619
LOC106928541,gene16410,rna30621_gene_LOC106928541,rna30621
LOC106928540,gene16411,rna30623_gene_LOC106928540,rna30623
LOC106928537,gene16412,rna30624_gene_LOC106928537,rna30624
LOC106928538,gene16413,NA,NA
LOC106928529,gene16414,rna30627_gene_LOC106928529,rna30627
kntc1,gene16415,rna30628_gene_kntc1,rna30628
rsrc2,gene16416,rna30630_gene_rsrc2,rna30630
LOC106928546,gene16417,rna30631_gene_LOC106928546,rna30631
zcchc8,gene16418,rna30632_gene_zcchc8,rna30632
clip1,gene16419,rna30633_gene_clip1,rna30633
lrrc43,gene16420,rna30642_gene_lrrc43,rna30642
mlxip,gene16421,rna30646_gene_mlxip,rna30646
wdr66,gene16422,rna30648_gene_wdr66,rna30648
LOC106928542,gene16423,rna30649_gene_LOC106928542,rna30649
LOC106928560,gene16424,rna30650_gene_LOC106928560,rna30650
LOC106928559,gene16425,rna30651_gene_LOC106928559,rna30651
rmnd1,gene16426,rna30652_gene_rmnd1,rna30652
LOC106928557,gene16427,NA,NA
LOC106928555,gene16428,rna30655_gene_LOC106928555,rna30655
LOC106928552,gene16429,rna30656_gene_LOC106928552,rna30656
LOC106928551,gene16430,rna30658_gene_LOC106928551,rna30658
LOC106928549,gene16431,rna30659_gene_LOC106928549,rna30659
LOC106928550,gene16432,rna30662_gene_LOC106928550,rna30662
LOC106928553,gene16433,NA,NA
shprh,gene16434,rna30664_gene_shprh,rna30664
LOC106928558,gene16435,rna30667_gene_LOC106928558,rna30667
LOC106928554,gene16436,rna30670_gene_LOC106928554,rna30670
LOC106928562,gene16437,NA,NA
LOC106928561,gene16438,rna30679_gene_LOC106928561,rna30679
LOC106928578,gene16439,rna30681_gene_LOC106928578,rna30681
LOC106928569,gene16440,rna30682_gene_LOC106928569,rna30682
LOC106928571,gene16441,rna30683_gene_LOC106928571,rna30683
LOC106928570,gene16442,rna30684_gene_LOC106928570,rna30684
LOC106928568,gene16443,rna30685_gene_LOC106928568,rna30685
LOC106928574,gene16444,NA,NA
LOC106928573,gene16445,rna30687_gene_LOC106928573,rna30687
LOC106928572,gene16446,rna30688_gene_LOC106928572,rna30688
LOC106928565,gene16447,rna30690_gene_LOC106928565,rna30690
LOC106928579,gene16448,rna30692_gene_LOC106928579,rna30692
LOC106928580,gene16449,rna30693_gene_LOC106928580,rna30693
trnag-ucc,gene16450,NA,NA
LOC106928575,gene16451,rna30698_gene_LOC106928575,rna30698
LOC106928566,gene16452,rna30702_gene_LOC106928566,rna30702
LOC106928567,gene16453,NA,NA
LOC106928564,gene16454,rna30704_gene_LOC106928564,rna30704
LOC106928563,gene16455,rna30705_gene_LOC106928563,rna30705
LOC106928576,gene16456,rna30707_gene_LOC106928576,rna30707
LOC106928577,gene16457,rna30710_gene_LOC106928577,rna30710
LOC106928588,gene16458,rna30713_gene_LOC106928588,rna30713
maea,gene16459,rna30718_gene_maea,rna30718
LOC106928587,gene16460,NA,NA
LOC106928585,gene16461,rna30720_gene_LOC106928585,rna30720
LOC106928586,gene16462,rna30721_gene_LOC106928586,rna30721
klhl3,gene16463,rna30722_gene_klhl3,rna30722
fam13b,gene16464,rna30726_gene_fam13b,rna30726
cxcl14,gene16465,rna30732_gene_cxcl14,rna30732
LOC106928592,gene16466,rna30733_gene_LOC106928592,rna30733
LOC106928593,gene16467,rna30734_gene_LOC106928593,rna30734
LOC106928594,gene16468,rna30736_gene_LOC106928594,rna30736
LOC106928591,gene16469,rna30737_gene_LOC106928591,rna30737
LOC106928601,gene16470,rna30738_gene_LOC106928601,rna30738
LOC106928602,gene16471,rna30739_gene_LOC106928602,rna30739
LOC106928595,gene16472,rna30740_gene_LOC106928595,rna30740
slc7a6os,gene16473,rna30741_gene_slc7a6os,rna30741
slc7a6,gene16474,rna30742_gene_slc7a6,rna30742
LOC106928597,gene16475,rna30745_gene_LOC106928597,rna30745
LOC106928600,gene16476,rna30746_gene_LOC106928600,rna30746
LOC106928596,gene16477,rna30747_gene_LOC106928596,rna30747
lrrtm1,gene16478,rna30749_gene_lrrtm1,rna30749
ctnna2,gene16479,rna30750_gene_ctnna2,rna30750
adra1d,gene16480,rna30751_gene_adra1d,rna30751
LOC106928611,gene16481,rna30752_gene_LOC106928611,rna30752
LOC106928608,gene16482,rna30754_gene_LOC106928608,rna30754
mettl14,gene16483,rna30755_gene_mettl14,rna30755
prss12,gene16484,rna30756_gene_prss12,rna30756
LOC106928607,gene16485,rna30757_gene_LOC106928607,rna30757
LOC106928603,gene16486,NA,NA
ugt8,gene16487,rna30760_gene_ugt8,rna30760
LOC106928618,gene16488,rna30761_gene_LOC106928618,rna30761
LOC106928615,gene16489,rna30766_gene_LOC106928615,rna30766
LOC106928616,gene16490,rna30769_gene_LOC106928616,rna30769
LOC106928622,gene16491,rna30772_gene_LOC106928622,rna30772
LOC106928620,gene16492,rna30773_gene_LOC106928620,rna30773
LOC106928621,gene16493,rna30776_gene_LOC106928621,rna30776
